from,to
Julia Davis Adams,Timothy Healy
Simon Wiesenthal,Bruno Kreisky
Donald Saddler,Lynn Redgrave
John Buscema,Jack Kirby
Robert J.,John Fox
Art D'Lugoff,Sam Shepard
Timothy S. Mayer,Thomas Babe
Fred Astaire,Cyd Charisse
Lauren Bacall,Henry Fonda
Priscilla Morgan,John Frankenheimer
Mark Hampton,David Hicks
James L. Stone,Mary Lou
John A. Kelley,John J. Kelley
Niles Ford,Jeff Duncan
Danny Arnold,Rosemary Clooney
Sonia Arova,Rudolf Nureyev
Kenneth Paul Block,Bill Blass
Robert Penn Warren,Willie Stark
Garo Yepremian,Earl Morrall
John Barry,Tony Curtis
George Bush,Bing Crosby
Hugh Leonard,Barnard Hughes
Robert Slutzky,Colin Rowe
John Reardon,Gian Carlo Menotti
Charles O. Finley,Peter Seitz
Alfred W. Miller,William Miller
Robert Maxwell,Erich Honecker
Stanley Adelman,Isaac Bashevis Singer
Tanaquil Le Clercq,Francis Mason
Ralph Guldahl,Ben Hogan
Herbert Levine,Barbra Streisand
Abbey Lincoln,Louis Armstrong
Glenn Bernbaum,Tom Wolfe
Willie Mosconi,Paul Newman
Peter A. Leventritt,John Gerber
Ruth Goode,Isadora Duncan
Martin Esslin,Jan Kott
Merce Cunningham,Robert Rauschenberg
Sergei Tretyakov,Mikhail S. Gorbachev
Paul Alan Kaplan,William M. Hoffman
Terry Callier,John Coltrane
Nicholas Dante,James Kirkwood
Roy Kuhlman,Herb Lubalin
Basil Cardinal Hume,Peter Stanford
Tony Martin,Cyd Charisse
Patrick Heron,Paul Nash
Lew R. Wasserman,Ginger Rogers
Lee Strasberg,Sidney Poitier
Danny Gatton,Roger Miller
Alistair Cooke,Adlai E. Stevenson
Heinz Sielmann,Orson Welles
Frederick B. Adams Jr.,Franklin D. Roosevelt
Cleveland Robinson,John V. Lindsay
Sam Woodyard,Roy Eldridge
Albert H. Bowker,Jimmy Carter
Walter Trampler,George Perle
Norris Houghton,John Houseman
Keith Diamond,Don Johnson
Carmen Sylva Mathews,Mary Tyler Moore
Gloria Lynne,John Wilson
Jutta Hipp,Lennie Tristano
Suzanne Pleshette,Johnny Carson
Raymond D. Nasher,Roy Lichtenstein
Cab Calloway,Pearl Bailey
Taylor Storer,David Bowie
Robert Sivard,Richard M. Nixon
Eqbal Ahmad,Richard M. Nixon
A. Frank Carven III,William Donald Schaefer
Bernhard Wicki,Henry Fonda
Mstislav Rostropovich,Eugene Ormandy
George Kennedy,Audrey Hepburn
Dobie Gray,George Jones
B. Gerald Cantor,Max Beckmann
Marion Cunningham,Judith Jones
Ashton Springer,Joseph Papp
Michael Bogdanov,Mel Gussow
Marvin Lipofsky,Harvey K. Littleton
David Oppenheim,Eugene Ormandy
Ehud Sprinzak,Yitzhak Rabin
Jean Carroll,Phyllis Diller
Nancy Lady Keith,Mike Nichols
Hans A. Bethe,Paul P. Ewald
Edward G. Jordan,Bryn Mawr
Michael Goldberg,Patsy Southgate
Jean Trepp McKelvey,Richard M. Nixon
Henry E. Petersen,Spiro T. Agnew
Don Kirshner,Tommy Boyce
Judy Davis,Barbra Streisand
Michael Dorris,Charles Rembar
Dave Garroway,Richard F. Shepard
Matthew Bucksbaum,Martin Bucksbaum
William Hughes Mulligan,Richard M. Nixon
Richard Greene,Shirley Temple
Lindy Hess,David Granger
Daniel Meenan,Glen Cove
Mickey Spillane,Ralph Meeker
Marian Cannon Schlesinger,John F. Kennedy
Kelan Philip Cohran,Betty Carter
Marjorie Child Husted,Claudette Colbert
William Chamberlain Chanler,John Jacob Astor
Glenn Davis,Heisman Trophy
Doug Coe,Ronald Reagan
Skitch Henderson,Schuyler Chapin
David W. Rubin,Grant Johannesen
William Stuart Brennen,Edward I. Koch
John Davenport Seymour,Abby Lewis
Tillie Olsen,Lila Kedrova
Clifton James,James Bond
Marion Margery Scranton Isaacs,William W. Scranton
Tom Hayden,Abbie Hoffman
Thornton F. Bradshaw,Robert O. Anderson
Jane Russell,Jeanne Crain
Barney Kessel,Herb Ellis
Louis D. Rubin Jr.,William Styron
Erwin N. Griswold,Lyndon B. Johnson
Ellin Berlin,Irving Berlin
J. Kevin McNiff,Hugh L. Carey
Meg Greenfield,Jimmy Carter
Charles Newman,Raymond Carver
Queen Elizabeth II,Alec Guinness
John Henry Faulk,Steve Allen
Kevin Starr,Warren Hinckle
Babe Herman,Babe Ruth
Bud Yorkin,Bea Arthur
Robert Burton Tator,Barbara McLean
Juan Carlos Onetti,Buenos Aires
Owsley Stanley,Ken Kesey
Chris Brasher,Roger Bannister
Andrei Dmitriyevich Sakharov,Maya Plisetskaya
Perry Lieber,Howard R. Hughes
Lou Boudreau,Larry Doby
Charles Henri Ford,Paul Bowles
Ismail Mahomed,Nelson Mandela
Isaac Cole,Natalie Cole
Al Stump,Sam Snead
Michael Berniker,Nelson Riddle
Walter L. Morgan,Bryn Mawr
Joan S. Harrison,Harry Horowitz
Claude Nobs,Bill Evans
Harry Newman,Bronko Nagurski
Maurice Morrissey Class,Douglas MacArthur
Henri Temianka,Alberto Ginastera
Harvey H. Lippincott,Donald S. Lopez
Bobby Fischer,Richard M. Nixon
Sanford Meisner,Sidney Lumet
Robert Galambos,Donald R. Griffin
Pavel G. Bunich,Boris N. Yeltsin
Simcha Ehrlich,Menachem Begin
Paul R. Reynolds,John Toland
Bruce Paltrow,Eli Wallach
Andrew Love,Joe Cocker
Benjamin Harkarvy,Martha Hill
Donald F. Smith,Barbara Cook
Paul Bogart,Budd Schulberg
Kathy Wilson,Walter F. Mondale
Ernie Vandeweghe,Harry Gallatin
Jimmy Smith,Michael Ward
Daniel Schorr,Barry Goldwater
Pete Postlethwaite,Maggie Smith
Allen Grossman,George Mikan
Lakshmi Kant Jha,Willy Brandt
Fred Hellerman,Theodore Bikel
Ervin Drake's,Frankie Laine
Noel Regney,Perry Como
Jim Bailey,Truman Capote
Li Xiannian,Deng Xiaoping
David Saperstein,Franklin D. Roosevelt
Frank W. Sharp,Elmer Baum
Stanley Kramer,Burt Lancaster
Robert L. Bach,Mark Goodson
Caroline Gordon,Robert Penn Warren
Robert A. Scalapino,John K. Fairbank
Marion Cajori,Joan Mitchell
Hector Babenco,Fred Ebb
Bob Jones Jr.,Bob Jones
Peggy Lee,Gary Cooper
Peter Lawford,Sammy Davis Jr.
Annabelle Irwin,Lee Hadley
Roger L. Stevens,Harold Pinter
Burke Marshall,Lyndon B. Johnson
Tamara Toumanova,John Martin
Kiss Me Kate,James Whitmore
M. Larry Lawrence,Walter F. Mondale
Alton E. Peters,Irving Berlin
Jane Davison,Peter Davison
Herman Brix,Johnny Weissmuller
Enrico Caruso,Rudolf Bing
Kongar-ol Ondar,Joan Rivers
Michael Burke,John V. Lindsay
Jim Pollard,Hank Luisetti
Mildred Custin,Geoffrey Beene
Alfred Eisenstaedt,Marilyn Monroe
Bill Hunter,Gregory Peck
Robert T. Hartmann,Richard M. Nixon
Conor Cruise O'Brien,Frank Aiken
Eugene Meyer,Katharine Graham
Joaquin Roces,Ferdinand E. Marcos
Jervis Anderson,Derek Walcott
Peter J. Crotty,George McGovern
Richard S. Thomas,Barbara Fallis
Frederick B. Lacey,Saddam Hussein
Ed Pincus,Vincent Canby
Tad Danielewski,Rita Gam
Eleanor Perry,Truman Capote
Jean Westwood,Richard M. Nixon
Chris Dundee,Jake LaMotta
Legh Knowles,Charlie Spivak
Hedda Sterne,Betty Parsons
William B. Tabler Sr,Laurance S. Rockefeller
William Rees-Mogg,Harold Wilson
John J. Gotti,Roy M. Cohn
Paul Butterfield,Bob Dylan
John Field,Kenneth MacMillan
Wayne Jackson,Andrew Love
Greenwich Village,Gerald Arpino
Levering Rothfuss,William Parker
Margaret Thatcher,Geoffrey Howe
George Jellinek,Duncan Pirnie
Janet D. Rowley,Bill Clinton
Philip Fox,Anne Fox
Boris Schapiro,Irving Gordon
Mary Keefe,Lee Kuan Yew
William Jay Schieffelin Jr.,Annette Markoe Schieffelin
Gualtiero Jacopetti,Russ Meyer
Michael G. Pugliese,Robert Ashley
Paul Schmidt,Robert Mapplethorpe
Charlie Barnet,Roy Eldridge
Alan Harrington,John Knowles
Kate O'Beirne,Ronald Reagan
Mary Ritts,Paul Ritts
Stanley Green,Walter Kerr
Michael Grant,John Canaday
George Hitchcock,Kenneth Rexroth
Howard M. Teichmann,Henry Fonda
Billy Joel,Michael Jackson
Tommy Henrich,Mountain Landis
Frank Durkan,George Harrison
Johnny Nicholson,Buffie Johnson
John E. Ivey Jr.,John F. Kennedy
Charlie McClendon,Babe Parilli
Jack D. Hunter,George Peppard
Ed Brown,Clarence Brown
George L. Hinman,Franklin D. Roosevelt
Samuel A. Turvey,Staten Island
Albin Krebs,Truman Capote
Gerald R. Ford,John F. Kennedy
Dana Wynter,Kevin McCarthy
William Doyle,Truman Capote
Connie Haines,Van Johnson
Paul R. Carey,Hugh L. Carey
Frederick J. Brown,Ornette Coleman
Laurie Lee,Ted Hughes
Kate Millett's,Shulamith Firestone
Leonard Bernstein,Gunther Schuller
Barbara Epstein,Nora Ephron
Donald I. Fine,Kurt Vonnegut
David Hess,Elvis Presley
David Bourdon,Ray Johnson
Gary Hendler,Michael Caine
Theodore C. Sorensen,John Kennedy
Estelle Bauer,Joyce Brothers
Betty Comden,Vincente Minnelli
Frederick Emmons Terman,Gerald R. Ford
Johnny Carson,Merv Griffin
Arthur Schwartz,George Balanchine
Lady Jean Rankin,Peter Townsend
Betty Comden,Leonard Bernstein
John S. Marsh,Niagara Falls
Horst P. Horst,Marlene Dietrich
Kenneth Libo,Irving Howe
Roger Brown,Connie Hawkins
Ken Englund,Joyce Brothers
Jimmie Reese,Babe Ruth
Andy Warhol,Gianni Versace
John Fiedler,Walter Matthau
Hedi Nouira,Habib Bourguiba
Charles H. Percy,Barry Goldwater
Johnny Cash,Ernie Ford
Herschel Bernardi,Richard F. Shepard
Beatrice Riese,Will Barnet
Samuel V. Merrick,Eleanor Perry
Louise Westergaard O'Neil,John Westergaard
Ret Turner,Andy Williams
Lorenzo Semple Jr.,Dustin Hoffman
Leon Schwab,Lana Turner
Polita Grau,Jimmy Carter
Donald Sur,Earl Kim
Sam M. Gibbons,John F. Kennedy
Sacvan Bercovitch,Hanna M. Bercovitch
David Lynch,Tony Williams
Lew Ayres,Lola Lane
Andre Deutsch,John Updike
Paul Harvey,George W. Bush
Herb Gardner,Howard Taubman
Art Taylor,Charlie Rouse
Richard P. McBrien,Theodore M. Hesburgh
Willie Mitchell,Al Green
Dorothy Blanchard Hammerstein,Beatrice Lillie
Gabriel Lewis Galindo,Jimmy Carter
Wayne Jackson,Al Green
Jake Hess,Elvis Presley
Hammond E. Chaffetz,Lloyd N. Cutler
Lee Solters,Yul Brynner
Arvell Shaw,Barney Bigard
Chico Carrasquel,Phil Rizzuto
Dorothy Jeakins,Audrey Hepburn
Iphigene Ochs Sulzberger,Arthur Ochs Sulzberger
Bulat S. Okudzhava,Vladimir Vysotsky
Morris Graves,Jawaharlal Nehru
Rushton Skakel,Robert F. Kennedy
Roger W. Straus Jr.,Theodore Roosevelt
Frank Cashen,Gary Carter
David Gahr,Robert Rauschenberg
Fred Phelps,Ronald Reagan
John L. Cashin Jr.,George C. Wallace
Julius Monk,Dorothy Lamour
Lucille Ball,Gary Morton
Victor Mills,Waldo Semon
Cecil Morgan,Huey P. Long
Mary Keefe,Claude Sitton
Daniel Anker,Sidney Lumet
J. Robert Lackey,James R. Cowan
Howard Greenfield,Carole King
Dan Devine,Frank Kush
Noel Da Costa,Gwendolyn Brooks
George Rodrigue,Marilyn Monroe
Paul Newman,Arthur Penn
Carolyn Leigh,Mary Martin
Gale Sondergaard,Bette Davis
George W. Moore,Bing Crosby
Lester E. Waterbury,Jean Parker
Alvin P. Adams Jr.,Buenos Aires
Collier Young,Howard Hughes
Betty Shabazz,Coretta Scott King
Cliff Osmond,Billy Wilder
William Clements Warren,Robert B. Anderson
Ronald Alexander,Robert Preston
Bill Arhos,Johnny Carson
Bob Weinstock,John Lewis
Harry V. Jaffa,Karl Hess
Dale Wasserman,Joe Darion
Arthur C. Clarke,Carl Sagan
Kader Asmal,Nelson Mandela
Anton Myrer,Nora Johnson
Barney Kessel,Benny Goodman
Peter Tauber,Muhammad Ali
Richard Dudman,Fidel Castro
Bert Stern,Truman Capote
Ted Weiss,Jimmy Carter
Stanley Fink,Mario M. Cuomo
Edgar Baitzel,Gotz Friedrich
Karl Augustus Menninger,Francis J. Braceland
Gil Evans,Pearl Bailey
James E. Olson,Robert E. Allen
Bart Howard,Peggy Lee
Yogi Berra,Roy Campanella
Elliott Kastner,Robert Mitchum
Betty Garrett,James Goldman
Mercedes Matter,Herbert Matter
Wendell Anderson,Elizabeth Crow
Nora Kaye,Leo Lerman
Kurt Masur,Lorin Maazel
Jody Powell,Nancy Reagan
Gerald P. Culkin,Andy Warhol
Max Showalter,Martha Raye
Sydney M. Pozer,Richard Attenborough
Erik Braunn,Lee Dorman
Anthony Shaffer,Michael Caine
Tony Cuesta,Fidel Castro
Roberta Strauss Feuerlicht,Theodore Roosevelt
Stavros S. Niarchos,Christina Onassis
John Wilde,Lincoln Kirstein
Margaret Truman Daniel,Eugene Ormandy
Rex Scouten,Richard M. Nixon
Anthony M. Solomon,David Rockefeller
Billy Grammer,Eddy Arnold
Roy R. Neuberger,Philip Johnson
Rudolf Augstein,Adolf Hitler
Charles E. Goodell,Gerald R. Ford
Martin Milner,Boris Karloff
Pierre Henry,Pierre Boulez
Jack Moore,Anna Sokolow
Leland J. Holland,Ronald Reagan
George Nakashima,Nelson A. Rockefeller
Margaret Ramsay,Eugene Ionesco
Steven Gethers,Robert Young
Alan Handley,Danny Thomas
Katherine Dunham,Allen Hughes
William F. Buckley Jr.,Arthur M. Schlesinger Jr.
Duane R. Clarridge,Thomas E. Dewey
Galway Kinnell,James Dickey
Ewen C. Dingwall,Robert Moses
Felix Grant,Mose Allison
Edgar D. Whitcomb,Vance Hartke
Juan Eugene Ramos,Antonio Lopez
Walter Cronkite,Richard S. Salant
John V. Lindsay,David Garth
Donald Q. Coster,John F. Kennedy
Konrad Fischer,On Kawara
Oleg Cassini,Johnny Carson
Sydney Pollack,Sanford Meisner
Kocheril Raman Narayanan,Jawaharlal Nehru
Joan Kahn,Tony Hillerman
Mario M. Cuomo,Robert Moses
Anthony Dapolito,Jane Jacobs
Arthur A. Segall,Ann Thomas
Arthur Schwartz,Bobby Short
Jerome Chodorov,Tony Awards
Vaughn Meader,Robert F. Kennedy
Eliot Janeway,Ronald Reagan
Carl B. Rubin,Ku Klux Klan
Zvi Zeitlin,Dorothy DeLay
Elmer A. Valentine,Frank Zappa
Ms. Fichandler,Edward Mangum
Max Wall,Samuel Beckett
Rod Steiger,Robert Aldrich
Penelope Green,Claiborne Pell
Theodore Wilentz,Gregory Corso
Norman Granz,Charlie Parker
John Lee Mahin,John Huston
Bobby Hutcherson,Jackie McLean
Jean Simmons,Paul Newman
Carol Burnett,Jerry Lewis
Joseph Garrott Allen,Robert Allen
Lloyd N. Cutler,Joseph Kraft
Harold O. Zimman,Bud Collins
Barbara Jordan,George Washington
Ann Waldron,Eudora Welty
John Raitt,Irving Berlin
Orestes Valera Valera,Fidel Castro
Cal Abrams,Carl Furillo
Harold Max Mayer,Harold Mayer
William Craig,Ian Paisley
Jean Arthur,Frank Capra
Bill Monroe,George C. Wallace
Gidske Anderson,Nelson Mandela
William Roy,Celeste Holm
Katharine Graham,Art Buchwald
Bernard Kilbourn,Malcolm Wilson
Anton Myrer,Martin Levin
Alice S. Rossi,Peter H. Rossi
John M. Schiff,Dorothy Schiff
Clarice Taylor,Alice Childress
Mel Wong,Carmelita Maracci
Dexter Gordon,John Coltrane
Nan Grey,Frankie Laine
Deanna Durbin,Robert Stack
Red Auerbach,Paul Seymour
Raymond Reisler,John V. Lindsay
Nina Petrovna Khrushchev,Frank Sinatra
Jan Groover,John Szarkowski
Robin Day,Harold Macmillan
Johan Cruyff,David Miller
Gyorgy Ligeti,Pierre Boulez
Bill Emerson,Robert F. Ellsworth
Derek Taylor,Paul Revere
Jan Leighton,Margaret Thatcher
Helen Suzman,Queen Elizabeth II
Faggs Starr,Wilma Rudolph
Kate Reid,Alec Guinness
Richard Todd,John Howard
Roger Colloff,Walter F. Mondale
Thomas A. Constantine,Mario M. Cuomo
Angier Biddle Duke,John F. Kennedy
Lucie Aubrac,Raymond Aubrac
Bob Squier,William Faulkner
Colleen Dewhurst,Harold Clurman
Elia Kazan,Marilyn Monroe
William Packard,Stanley Kunitz
Chester Ludgin,Leonard Bernstein
Lillian Gish,Helen Hayes
Middleburgh Heights,Marion Motley
Leonard Salvato,William Turnbull
Mr. Brademas,Ronald Reagan
Eugene H. Nickerson,Nelson A. Rockefeller
Nelson Mandela,Ronald Reagan
Robert E. Herman,Nelson A. Rockefeller
Milt Moss,Merv Griffin
Buddy Emmons,Little Jimmy Dickens
Bill Blass,Jane Trahey
Lew Burdette,Bob Buhl
Bill Mazer,Mario M. Cuomo
Danny Gans,Rod Stewart
Arthur Siegel,Hermione Gingold
Simon Kuznets,Paul A. Samuelson
Vincent Ferrara,John V. Lindsay
Mona Van Duyn,Alfred A. Knopf
Charles Nelson Reilly,Charles Durning
Robert Merrill,Thomas Hayward
Chester V. Clifton Jr.,Lyndon B. Johnson
Lord Zuckerman,Alfred Hitchcock
Bill Walsh,Bill Johnson
Rhea Robinson,Davis Ashton Robinson
Harvey Philip Dale,Harvey J. Goldschmid
Curly Putman,Dolly Parton
Ms. Hazzard,Graham Greene
Jacqueline T. Babbin,Emmy Award
Chien-Shiung Wu,Robert F. Goheen
Lee Nordness,Peter Voulkos
Lambert Davis,Eudora Welty
Les Brown,Bob Hope
Olympe Bradna,George Raft
Louis Landerson,Leonard Bernstein
Malcolm W. Browne,David Halberstam
Cesare Siepi,Boris Christoff
Helen Thomas,Bill Clinton
Fred Spielman,Frank Sinatra
Arthur Shimkin,Alfred Hitchcock
Irving L. Goldberg,John F. Kennedy
George Burns's,Joseph Cotten
Mustafa Khalil,Jimmy Carter
Nani Palkhivala,Lillian Carter
Karel Reisz,Betsy Blair
William E. Miller,Richard M. Nixon
Douglas B. Kendrick,Walter Reed
Teresa Wright,Helen Hayes
Hugh Hurd,Maya Angelou
Phillip Burton,George Miller
Leonard Bernstein,Peter Pan
Mike Wallace,Art Buchwald
Richard Maguire,Presidents Kennedy
S. Neil Fujita,Dave Brubeck
David Wood,Hanya Holm
Jean Howard,Richard Burton
Viola Farber,Paul Taylor
Rudolph Davila,Daniel K. Inouye
William King,Hilton Kramer
John T. Kramer,Thomas S. Foley
Paul Mellon,John Walker
John F. Kennedy's,William Manchester
Julian Orbon,Aaron Copland
William B. Saxbe,John N. Mitchell
Elizabeth Taylor,Debbie Reynolds
Shirley Scott,Eddie Davis
Anthony J. Celebrezze,John F. Kennedy
Teddy Charles,John Coltrane
Mario M. Cuomo,Adrian P. Burke
John G. Dow,Benjamin A. Gilman
Austin Hansen,Lena Horne
John D. Ehrlichman,Theodore H. White
Thomas J. Hartman,Barbra Streisand
Larry Elgart,Benny Goodman
Trude Rittmann,Leonard Bernstein
Brian Lenihan,Charles J. Haughey
Mel Finkelstein,Walter Winchell
Ben Sommers,Martha Graham
Herman Graebe,William L. Shirer
Gary Wood,Earl Morrall
Alistair MacLean,David Niven
Edwin L. Mechem,Richard M. Nixon
Natasha Richardson,Tony Richardson
Clive Barnes,Martha Graham
Arthur Kane,Bo Diddley
Michael Taylor,David Adler
Jackie Presser,Ronald Reagan
Grace Bliss,Helen Smith
Hua Guofeng,Jiang Qing
Thomas Hinman,Lyndon B. Johnson
Beekman Downtown Hospital,Jawaharlal Nehru
Olson Johnson,Bette Davis
Frank D. O'Connor,Henry Fonda
Margaret Janus,Jack Kevorkian
Marjorie Lord,James Cagney
Fred Fox,Judy Canova
Elizabeth Wilson,Franklin D. Roosevelt
Michael Ballard,Alwin Nikolais
Freddie Fields,Sidney Poitier
Sydney Gittler,Doris Duke
Chubby Jackson,Charlie Barnet
Vincent Marotta Sr,Joe DiMaggio
Muriel Spark,Saul Bellow
Sherman Hemsley,Mel Stewart
Chiara Lubich,John Paul II
Hans A. Bethe,Victor F. Weisskopf
Arnold Klein,Carrie Fisher
Ella Fitzgerald,Nelson Riddle
Paul Arizin,Wilt Chamberlain
Ed Friendly,Dick Martin
Robert Warren Morse,Lyndon B. Johnson
Ellen Clayton Garwood,Ronald Reagan
Carlos Moseley,Pierre Boulez
Peter O'Toole,Sam Spiegel
Kim Williams,Melvin Williams
Edward H. Bilkey,Joseph S. Frelinghuysen
William Weaver,Alberto Moravia
Finn M. W. Caspersen,Walter H. Annenberg
Richard Maibaum,Milton Berle
Jack Ely,Rudy Vallee
Todd Bolender,Eugene Loring
Gloria Shayne Baker,Mike Douglas
Thomas Dunn,Harold C. Schonberg
Bill Thomas,Otis Chandler
Mr. Christenberry,Walter Hopps
Peter Gowland,Alice Adams
Kathi Kamen Goldmark,Maya Angelou
Joel Dorn,Ray Charles
Arthur Gold,Robert Fizdale
Marshall J. Bouldin III,William Faulkner
Samuel Menashe,Kathleen Raine
Milt Jackson,Connie Kay
Len Lesser,Leonard Lesser
Manson Whitlock,Robert Penn Warren
Marcia Simon Weisman,Frederick R. Weisman
Harvey Wheeler,Henry Fonda
Walter Sorell,Hanya Holm
Mickey Rooney,Nell Carter
Phil Gersh,James Mason
James Day,Ann Landers
Robert Stephens,Maggie Smith
Ida Gertrude Krebs,Woodrow Wilson
Ernst C. Stiefel,Adolf Hitler
Kenneth S. Goldstein,Jean Ritchie
Maurice Jarre,Omar Sharif
Leo Valiani,Ferruccio Parri
Tennyson Schad,Helen Gee
William H. Schaap,Dick Schaap
Don Ameche,Frances Langford
John S. R. Shad,Alec R. Jack
Sadegh Khalkhali,Ayatollah Ruhollah Khomeini
Edwin Newman,Eric Sevareid
Diana McLellan,Ben Bradlee
Bill Flemming,Bobby Fischer
Richard Jessup,Rod Taylor
Janet Annenberg Hooker,Ronald Reagan
Burton Lane,Ira Gershwin
Claude Trenier,Louis Armstrong
Eugene List,Andrew Imbrie
Jim Cronin,Queen Elizabeth II
Willard Nixon,Mel Parnell
Ivan Le Lorraine Albright,Jean Dubuffet
Anthony R. Cucci,Frank R. Lautenberg
Cecil Taylor,Julius Hemphill
Harry Newman,Heisman Trophy
Nancy Topf,Art Bauman
Joseph Fuchs,Leonard Rose
Friede F. Roth,Robert Sterling
Oliver Jackson,Buck Clayton
Fred C. Trump,Edward S. Gordon
Joe Browder,Richard M. Nixon
Henry Butler,Nicolai Gedda
George Cole,Margaret Thatcher
Lester Bowie,Albert King
Peggy Gilbert,George Burns
Sid Caesar,Woody Allen
Teri Thornton,Johnny Griffin
Rene Andrieu,Louis Aragon
Pola Nirenska,George Jackson
Samuel M. Brody,Lewis Davis
Buddy Holly,Ritchie Valens
Martha Chase,Alfred D. Hershey
Carolyn Kizer,Adrienne Rich
Steve Allen,Eydie Gorme
Isabel Leighton Bunker,Howard Fast
Samuel Charters,Tomas Transtromer
Osmond K. Fraenkel,Joseph R. McCarthy
Bella S. Abzug,Edward I. Koch
Maurice C. Brigadier,William J. Brennan Jr.
Melvin M. Lebetkin,Jimmy Breslin
Jack Holland,Elizabeth Murray
Shirley Hayes,Jane Jacobs
Bobby Riggs,Alice Marble
Joseph L. Mankiewicz,Bette Davis
Jack Davies,Richard M. Nixon
Jimmy Rowles,Benny Goodman
Jayne Cortez,Ornette Coleman
Sonny Greer,Whitney Balliett
Dudley Moore,Blake Edwards
Samuel Cummings,Idi Amin
John F. Timoney,James Cagney
Victoria Lincoln,Victor A. Lowe
William H. Stewart,James Watt
Lawrence R. Herkimer,Heisman Trophy
Christopher Isherwood,Orville Prescott
Carmine G. De Sapio,Murray Kempton
Martha Hill,Merce Cunningham
Lon Nol,Pol Pot
Richard Ahlert,Perry Como
Yoshimitsu Morita,Yusaku Matsuda
Stanislaw Baranczak,Seamus Heaney
Angus MacDonald,Queen Elizabeth II
George Coe,Madeline Kahn
Robert Cummings,Fanny Brice
Akira Kurosawa,Sergio Leone
Eddie Parker,Jackie Gleason
Harry Wagstaff Gribble,George Bernard Shaw
Anthony Beilenson,Helen Gahagan Douglas
Bobby Pratt,Charlie Parker
Michael V. Gazzo,Elvis Presley
John Grigg,Henry Cooper
Murray Rose,Johnny Weissmuller
Robert L. Hardesty,Neil Armstrong
Jagjivan Ram,Charan Singh
John Ritter,Nina Foch
William J. Brennan Jr.,Bernard Schwartz
John Derek,Blake Edwards
Max Schmeling,Jack Sharkey
Philip D. Estridge,John F. Akers
L. Ron Hubbard,Robert A. Heinlein
Chuck Rayner,Gump Worsley
Alexander Godunov,Stella Adler
Michael Sarrazin,Sydney Pollack
Buddy Rich,Harry James
Vladimir Kosma Zworykin,James Hillier
Jack Klugman,Garry Marshall
L. Rust Hills,John Cheever
Red Hickey,Tom Landry
Jack Mitchell,Alfred Hitchcock
Frank Kermode,Melvin J. Lasky
Howard F. Corcoran,David M. Corcoran
Paul Prudhomme,Dom DeLuise
Pauline Kael,Penelope Gilliatt
Leon H. Keyserling,Franklin D. Roosevelt
William E. Jenner,Douglas MacArthur
Nicol Williamson,George C. Scott
Joe Lee Wilson,Billy Eckstine
Mordecai Waxman,John Paul
Norman Rosten,Mardi Gras
Tom Wicker,George Bush
J. Watson Webb Jr.,William Henry Vanderbilt
Bertram Ross,Mary Hinkson
Roland Winters,Elvis Presley
Richard Bradshaw,Peter Lieberson
Hank Thompson,Kitty Wells
Edwin F. Jaeckle,Thomas E. Dewey
Louise Sulzberger,Edward I. Koch
Herbert Salzman,Lyndon B. Johnson
John A. McCone,Fidel Castro
Valerie Bettis,William Faulkner
